@file,1,DJM-S7,,,,,,,,,,,,
#name,function,type,input,deck1,deck2,deck3,deck4,output,deck1,deck2,deck3,deck4,option,comment
PAD3_PadMode2+Shift,PAD3_PadMode2+Shift,Pad,,971A,981A,,,,971A,981A,,,Fast,
PAD3_PadMode3,PAD3_PadMode3,Pad,,9722,9822,,,,9722,9822,,,Fast,
PAD3_PadMode3+Shift,PAD3_PadMode3+Shift,Pad,,972A,982A,,,,972A,982A,,,Fast,
PAD3_PadMode4,PAD3_PadMode4,Pad,,9732,9832,,,,9732,9832,,,Fast,
PAD3_PadMode4+Shift,PAD3_PadMode4+Shift,Pad,,973A,983A,,,,973A,983A,,,Fast,
PAD3_PadMode5,PAD3_PadMode5,Pad,,9742,9842,,,,9742,9842,,,Fast,
PAD3_PadMode5+Shift,PAD3_PadMode5+Shift,Pad,,974A,984A,,,,974A,984A,,,Fast,
PAD3_PadMode6,PAD3_PadMode6,Pad,,9752,9852,,,,9752,9852,,,Fast,
PAD3_PadMode6+Shift,PAD3_PadMode6+Shift,Pad,,975A,985A,,,,975A,985A,,,Fast,
PAD3_PadMode7,PAD3_PadMode7,Pad,,9762,9862,,,,9762,9862,,,Fast,
PAD3_PadMode7+Shift,PAD3_PadMode7+Shift,Pad,,976A,986A,,,,976A,986A,,,Fast,
PAD3_PadMode8,PAD3_PadMode8,Pad,,9772,9872,,,,9772,9872,,,Fast,
PAD3_PadMode8+Shift,PAD3_PadMode8+Shift,Pad,,977A,987A,,,,977A,987A,,,Fast,
,,,,,,,,,,,,,,
PAD4_PadMode1,PAD4_PadMode1,Pad,,9703,9803,,,,9703,9803,,,Fast,
PAD4_PadMode1+Shift,PAD4_PadMode1+Shift,Pad,,970B,980B,,,,970B,980B,,,Fast,
PAD4_PadMode2,PAD4_PadMode2,Pad,,9713,9813,,,,9713,9813,,,Fast,
PAD4_PadMode2+Shift,PAD4_PadMode2+Shift,Pad,,971B,981B,,,,971B,981B,,,Fast,
PAD4_PadMode3,PAD4_PadMode3,Pad,,9723,9823,,,,9723,9823,,,Fast,
