@file,1,PIONEER DDJ-ERGO
#name,function,type,input,deck1,deck2,deck3,deck4,output,deck1,deck2,deck3,deck4,option,comment
,,,,,,,,,,,,,,
# Browser,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PAD3_HotCue,PAD3.HotCue.Call,Pad,9030,0,1,2,3,9030,0,1,2,3,Fast,HOT CUE3
PAD3_HotCue+Shift,PAD3.HotCue.Delete,Pad,9061,0,1,2,3,9061,0,1,2,3,Fast,Delete HOT CUE3
PAD3_Sampler,PAD3.Sampler.Start,Pad,9040,0,1,2,3,9040,0,1,2,3,Fast,Sample Slot 3 play
PAD3_Sampler+Shift,PAD3.Sampler.Stop,Pad,9041,0,1,2,3,9041,0,1,2,3,Fast,Sample Slot 3 stop
,,,,,,,,,,,,,,
PAD4_HotCue,PAD4.HotCue.Call,Pad,9031,0,1,2,3,9031,0,1,2,3,Fast,HOT CUE 4
PAD4_HotCue+Shift,PAD4.HotCue.Delete,Pad,9062,0,1,2,3,9062,0,1,2,3,Fast,Delete HOT CUE 4
PAD4_Sampler,PAD4.Sampler.Start,Pad,9042,0,1,2,3,9042,0,1,2,3,Fast,Sample Slot 4 play
PAD4_Sampler+Shift,PAD4.Sampler.Stop,Pad,9043,0,1,2,3,9043,0,1,2,3,Fast,Sample Slot 4 stop
,,,,,,,,,,,,,,
#,HotCueSampler,Button,9059,0,1,2,3,,,,,,,
,,,,,,,,,,,,,,
SamplerVolume,SamplerVolume,Rotary,B044,,,,,,,,,,,Sampler Volume
SamplerVolume,SamplerVolume,Rotary,B144,,,,,,,,,,,Sampler Volume
SamplerVolume,SamplerVolume,Rotary,B244,,,,,,,,,,,Sampler Volume
SamplerVolume,SamplerVolume,Rotary,B344,,,,,,,,,,,Sampler Volume
,,,,,,,,,,,,,,
# State,,,,,,,,,,,,,,
DeckState,DeckState,Button,9072,0,1,2,3,,,,,,RO,LED State of the DECK 1/2/3/4
PlayingState,PlayingState,Indicator,,,,,,906E,0,1,2,3,RO,Playing States of the left/right deck
,,,,,,,,,,,,,,
# illumination,,,,,,,,,,,,,,
LoadedIndicator,LoadedIndicator,Indicator,,,,,,,9B0C,9B0D,9B0E,9B0F,RO;Priority=100,Trigger for Load illumination
GetLoopActive,GetLoopActive,Indicator,,,,,,,9B10,9B11,9B12,9B13,RO;Priority=100,get loop active
,,,,,,,,,,,,,,
# Parameter,,,,,,,,,,,,,,
JogRatency,JogRatency,Parameter,FFF2,,,,,,,,,,Value=4,unused
MidiOutInterval,MidiOutInterval,Parameter,FFF3,,,,,,,,,,Value=2,
